t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0.073000,0.289750,0.105359,0.000000,-0.056215,0.000000,0.000000,-0.998419,1.969452,-1.663108,0.000000,0.000000,0.000000,149.847993
0.073500,0.291720,0.103694,0.000000,0.018643,0.000000,0.000000,-0.999826,1.969247,-1.667581,0.000000,0.000000,0.000000,149.846953
0.074000,0.293689,0.102024,0.000000,0.093396,0.000000,0.000000,-0.995629,1.969042,-1.672052,0.000000,0.000000,0.000000,149.845912
0.074500,0.295658,0.100350,0.000000,0.167625,0.000000,0.000000,-0.985851,1.968837,-1.676522,0.000000,0.000000,0.000000,149.844872
0.075000,0.297626,0.098671,0.000000,0.240914,0.000000,0.000000,-0.970546,1.968632,-1.680991,0.000000,0.000000,0.000000,149.843831
0.075500,0.299595,0.096988,0.000000,0.312852,0.000000,0.000000,-0.949802,1.968427,-1.685459,0.000000,0.000000,0.000000,149.842791
0.076000,0.301563,0.095300,0.000000,0.383036,0.000000,0.000000,-0.923734,1.968222,-1.689926,0.000000,0.000000,0.000000,149.841750
0.076500,0.303531,0.093608,0.000000,0.451072,0.000000,0.000000,-0.892488,1.968018,-1.694392,0.000000,0.000000,0.000000,149.840709
0.077000,0.305499,0.091911,0.000000,0.516579,0.000000,0.000000,-0.856239,1.967813,-1.698857,0.000000,0.000000,0.000000,149.839669
0.077500,0.307467,0.090210,0.000000,0.579191,0.000000,0.000000,-0.815192,1.967608,-1.703321,0.000000,0.000000,0.000000,149.838628
0.078000,0.309434,0.088504,0.000000,0.638555,0.000000,0.000000,-0.769576,1.967403,-1.707784,0.000000,0.000000,0.000000,149.837588
0.078500,0.311402,0.086794,0.000000,0.694341,0.000000,0.000000,-0.719647,1.967198,-1.712245,0.000000,0.000000,0.000000,149.836547
0.079000,0.313369,0.085080,0.000000,0.746234,0.000000,0.000000,-0.665684,1.966994,-1.716706,0.000000,0.000000,0.000000,149.835507
0.079500,0.315336,0.083361,0.000000,0.793944,0.000000,0.000000,-0.607991,1.966789,-1.721166,0.000000,0.000000,0.000000,149.834466
0.080000,0.317302,0.081638,0.000000,0.837204,0.000000,0.000000,-0.546891,1.966584,-1.725624,0.000000,0.000000,0.000000,149.833426
0.080500,0.319269,0.079910,0.000000,0.875772,0.000000,0.000000,-0.482726,1.966380,-1.730082,0.000000,0.000000,0.000000,149.832385
0.081000,0.321235,0.078177,0.000000,0.909431,0.000000,0.000000,-0.415856,1.966175,-1.734538,0.000000,0.000000,0.000000,149.831345
0.081500,0.323201,0.076441,0.000000,0.937993,0.000000,0.000000,-0.346655,1.965970,-1.738994,0.000000,0.000000,0.000000,149.830304
0.082000,0.325167,0.074699,0.000000,0.961297,0.000000,0.000000,-0.275513,1.965766,-1.743448,0.000000,0.000000,0.000000,149.829264
0.082500,0.327133,0.072954,0.000000,0.979215,0.000000,0.000000,-0.202827,1.965561,-1.747901,0.000000,0.000000,0.000000,149.828223
0.083000,0.329098,0.071204,0.000000,0.991644,0.000000,0.000000,-0.129004,1.965356,-1.752353,0.000000,0.000000,0.000000,149.827183
0.083500,0.331064,0.069449,0.000000,0.998516,0.000000,0.000000,-0.054460,1.965152,-1.756804,0.000000,0.000000,0.000000,149.826142
0.084000,0.333029,0.067690,0.000000,0.999792,0.000000,0.000000,0.020390,1.964947,-1.761254,0.000000,0.000000,0.000000,149.825102
0.084500,0.334993,0.065927,0.000000,0.995465,0.000000,0.000000,0.095125,1.964743,-1.765703,0.000000,0.000000,0.000000,149.824061
0.085000,0.336958,0.064159,0.000000,0.985560,0.000000,0.000000,0.169326,1.964538,-1.770151,0.000000,0.000000,0.000000,149.823021
0.085500,0.338923,0.062386,0.000000,0.970132,0.000000,0.000000,0.242577,1.964334,-1.774598,0.000000,0.000000,0.000000,149.821980
0.086000,0.340887,0.060609,0.000000,0.949268,0.000000,0.000000,0.314469,1.964129,-1.779044,0.000000,0.000000,0.000000,149.820940
0.086500,0.342851,0.058828,0.000000,0.923084,0.000000,0.000000,0.384598,1.963925,-1.783488,0.000000,0.000000,0.000000,149.819900
0.087000,0.344815,0.057042,0.000000,0.891728,0.000000,0.000000,0.452572,1.963720,-1.787932,0.000000,0.000000,0.000000,149.818859
0.087500,0.346778,0.055252,0.000000,0.855375,0.000000,0.000000,0.518009,1.963516,-1.792374,0.000000,0.000000,0.000000,149.817819
0.088000,0.348742,0.053458,0.000000,0.814230,0.000000,0.000000,0.580543,1.963311,-1.796816,0.000000,0.000000,0.000000,149.816778
0.088500,0.350705,0.051659,0.000000,0.768522,0.000000,0.000000,0.639823,1.963107,-1.801256,0.000000,0.000000,0.000000,149.815738
0.089000,0.352668,0.049855,0.000000,0.718509,0.000000,0.000000,0.695518,1.962902,-1.805695,0.000000,0.000000,0.000000,149.814698
0.089500,0.354631,0.048047,0.000000,0.664469,0.000000,0.000000,0.747316,1.962698,-1.810133,0.000000,0.000000,0.000000,149.813657
0.090000,0.356593,0.046235,0.000000,0.606707,0.000000,0.000000,0.794925,1.962493,-1.814570,0.000000,0.000000,0.000000,149.812617
0.090500,0.358556,0.044418,0.000000,0.545546,0.000000,0.000000,0.838081,1.962289,-1.819006,0.000000,0.000000,0.000000,149.811576
0.091000,0.360518,0.042597,0.000000,0.481329,0.000000,0.000000,0.876540,1.962085,-1.823441,0.000000,0.000000,0.000000,149.810536
0.091500,0.362480,0.040771,0.000000,0.414415,0.000000,0.000000,0.910088,1.961880,-1.827874,0.000000,0.000000,0.000000,149.809496
0.092000,0.364442,0.038941,0.000000,0.345180,0.000000,0.000000,0.938536,1.961676,-1.832307,0.000000,0.000000,0.000000,149.808455
0.092500,0.366403,0.037107,0.000000,0.274012,0.000000,0.000000,0.961726,1.961471,-1.836738,0.000000,0.000000,0.000000,149.807415
0.093000,0.368365,0.035268,0.000000,0.201308,0.000000,0.000000,0.979528,1.961267,-1.841169,0.000000,0.000000,0.000000,149.806375
0.093500,0.370326,0.033424,0.000000,0.127478,0.000000,0.000000,0.991841,1.961063,-1.845598,0.000000,0.000000,0.000000,149.805334
0.094000,0.372287,0.031577,0.000000,0.052933,0.000000,0.000000,0.998598,1.960858,-1.850026,0.000000,0.000000,0.000000,149.804294
0.094500,0.374247,0.029724,0.000000,-0.021907,0.000000,0.000000,0.999760,1.960654,-1.854453,0.000000,0.000000,0.000000,149.803254
0.095000,0.376208,0.027868,0.000000,-0.096624,0.000000,0.000000,0.995321,1.960449,-1.858879,0.000000,0.000000,0.000000,149.802214
